price,brand,model,year,title_status,color,state,country,condition,km
18003,chevrolet,malibu,2017,clean vehicle,no_color,michigan, usa,17 hours left,30765.75278
23100,dodge,durango,2018,clean vehicle,white,south carolina, usa,21 hours left,79655.89264
24500,cadillac,door,2017,clean vehicle,white,michigan, usa,2 days left,52171.58412
17000,ford,escape,2018,clean vehicle,gold,south carolina, usa,21 hours left,56035.60946
34002,chevrolet,1500,2017,clean vehicle,white,michigan, usa,2 days left,51374.96082
25000,dodge,charger,2018,clean vehicle,silver,michigan, usa,21 hours left,45555.58738
26500,chrysler,pacifica,2017,clean vehicle,gray,michigan, usa,21 hours left,29571.6225
24802,chevrolet,colorado,2017,clean vehicle,gray,michigan, usa,2 days left,22785.03572
28500,ford,door,2017,clean vehicle,red,south carolina, usa,21 hours left,77386.72324
47500,cadillac,door,2017,clean vehicle,black,michigan, usa,2 days left,42747.28908
23500,ford,explorer,2017,clean vehicle,black,south carolina, usa,21 hours left,92715.68674
23505,chevrolet,colorado,2017,clean vehicle,black,michigan, usa,2 hours left,76213.51438
10940,ford,door,2017,clean vehicle,white,texas, usa,2 days left,136658.71544
32100,ford,f-150,2017,clean vehicle,gray,south carolina, usa,21 hours left,39462.62614
53000,chevrolet,3500,2018,clean vehicle,black,washington, usa,21 hours left,25918.4207
11900,dodge,caravan,2017,clean vehicle,gray,south carolina, usa,21 hours left,95815.27558
26414,chevrolet,1500,2017,clean vehicle,black,michigan, usa,20 hours left,88870.97348
19405,chevrolet,door,2017,clean vehicle,silver,michigan, usa,3 hours left,63869.87658
25900,chrysler,van,2017,clean vehicle,silver,south carolina, usa,21 hours left,51859.37216
19500,chrysler,300,2017,clean vehicle,gray,arizona, usa,34 minutes,50390.04474
32012,chevrolet,1500,2017,clean vehicle,white,michigan, usa,2 days left,74176.08994
31802,chevrolet,2500,2017,clean vehicle,silver,michigan, usa,20 hours left,31937.3523
28402,chevrolet,1500,2017,clean vehicle,black,michigan, usa,2 days left,50266.12556
33300,cadillac,esv,2015,clean vehicle,gray,washington, usa,21 hours left,93232.28488
10780,dodge,mpv,2018,clean vehicle,white,florida, usa,16 hours left,31253.3828
20000,chevrolet,1500,2016,clean vehicle,white,washington, usa,21 hours left,150462.02462
19900,ford,door,2016,clean vehicle,gray,south carolina, usa,21 hours left,139732.55484
37000,chevrolet,door,2015,clean vehicle,white,washington, usa,21 hours left,73686.85058
22300,ford,explorer,2016,clean vehicle,black,south carolina, usa,21 hours left,101024.70916
31200,chevrolet,door,2011,clean vehicle,gray,washington, usa,21 hours left,122834.48484
22800,ford,el,2016,clean vehicle,silver,south carolina, usa,21 hours left,117296.7459
19002,cadillac,door,2016,clean vehicle,white,michigan, usa,20 hours left,74781.20178
18500,ford,edge,2016,clean vehicle,white,south carolina, usa,21 hours left,53935.42076
39000,bmw,series,2016,clean vehicle,blue,michigan, usa,2 days left,64240.02478
28800,ford,door,2016,clean vehicle,white,south carolina, usa,21 hours left,124945.93892
40000,bmw,series,2016,clean vehicle,gray,michigan, usa,2 days left,51059.53018
21000,ford,flex,2016,clean vehicle,gray,south carolina, usa,21 hours left,38876.82638
25800,ford,door,2014,clean vehicle,brown,pennsylvania, usa,1 days left,75727.4937
39000,bmw,series,2016,clean vehicle,black,michigan, usa,2 days left,53285.2474
14600,ford,door,2014,clean vehicle,black,pennsylvania, usa,21 hours left,121963.8319
24502,chevrolet,1500,2016,clean vehicle,black,michigan, usa,20 hours left,54112.44816
15110,ford,door,2017,clean vehicle,white,texas, usa,2 days left,68057.37926
27305,chevrolet,door,2016,clean vehicle,blue,michigan, usa,3 hours left,46419.80296
15290,ford,door,2017,clean vehicle,white,texas, usa,2 days left,107153.07588
26500,ford,door,2015,clean vehicle,silver,south carolina, usa,21 hours left,98871.41224
